Q_Shewanella_Pdp11||0_partial_3	CheckV-045006_49	48.3	234	117	2	10	239	23	256	9.68e-73	226
Q_Shewanella_Pdp11||0_partial_3	CheckV-013456_88	47.6	229	115	2	12	240	2	225	4.42e-69	216
Q_Shewanella_Pdp11||0_partial_3	CheckV-060001_27	46.7	229	117	2	12	240	2	225	1.26e-68	215
Q_Shewanella_Pdp11||0_partial_3	CheckV-029828_49	47.0	234	115	2	12	237	5	237	3.75e-66	209
Q_Shewanella_Pdp11||0_partial_3	CheckV-005709_19	46.0	213	115	0	27	239	23	235	1.83e-65	207
Q_Shewanella_Pdp11||0_partial_3	CheckV-046554_53	45.0	231	123	2	13	239	6	236	3.23e-65	207
Q_Shewanella_Pdp11||0_partial_3	CheckV-046476_27	45.0	231	123	2	13	239	9	239	3.54e-65	207
Q_Shewanella_Pdp11||0_partial_3	CheckV-029521_5	45.1	237	120	5	10	241	1	232	1.26e-64	205
Q_Shewanella_Pdp11||0_partial_3	CheckV-016168_30	47.9	234	116	2	10	237	1	234	4.47e-64	204
Q_Shewanella_Pdp11||0_partial_3	CheckV-010933_25	44.5	256	113	4	12	239	23	277	1.72e-62	201
Q_Shewanella_Pdp11||0_partial_3	CheckV-009236_1	43.4	228	123	2	16	237	6	233	3.53e-62	199
Q_Shewanella_Pdp11||0_partial_3	CheckV-021849_59	54.6	163	74	0	77	239	85	247	1.12e-61	198
Q_Shewanella_Pdp11||0_partial_3	CheckV-015843_37	44.3	235	124	4	11	239	60	293	4.99e-60	195
Q_Shewanella_Pdp11||0_partial_3	CheckV-018707_52	44.9	243	113	4	20	241	24	266	3.88e-58	189
Q_Shewanella_Pdp11||0_partial_3	CheckV-059291_63	43.7	222	118	3	25	239	15	236	3.14e-57	186
Q_Shewanella_Pdp11||0_partial_3	CheckV-042933_15	40.1	242	132	3	10	241	1	239	3.16e-56	184
Q_Shewanella_Pdp11||0_partial_3	CheckV-044161_52	39.7	239	130	5	12	241	5	238	1.74e-55	182
Q_Shewanella_Pdp11||0_partial_3	CheckV-049698_5	42.3	241	121	6	12	239	2	237	1.79e-55	182
Q_Shewanella_Pdp11||0_partial_3	CheckV-006796_51	46.8	171	87	2	70	239	61	228	7.06e-53	175
Q_Shewanella_Pdp11||0_partial_3	CheckV-045200_41	40.3	231	136	2	10	239	24	253	1.75e-52	175
Q_Shewanella_Pdp11||0_partial_3	CheckV-060465_41	41.8	237	121	7	12	239	2	230	2.32e-52	174
Q_Shewanella_Pdp11||0_partial_3	CheckV-033319_6	41.6	238	122	7	13	241	3	232	2.40e-51	171
Q_Shewanella_Pdp11||0_partial_3	CheckV-011230_52	45.9	194	96	2	57	241	68	261	7.86e-51	171
Q_Shewanella_Pdp11||0_partial_3	CheckV-044544_44	40.0	245	129	8	10	241	1	240	1.21e-50	169
