>Q_Shewanella_Pdp11__0_partial_1|32|l
Q_Shewanella_Pdp11__0_partial_1__1|1|1485|29937|+|AAA_15|81.4|-|2|AAA_15|81.4|-
Q_Shewanella_Pdp11__0_partial_1__2|1478|2134|29937|+|-|nan|-|2|-|nan|-
Q_Shewanella_Pdp11__0_partial_1__3|3094|3816|29937|-|Phage_cluster_11607.ali_faa|235.5|-|1|HTH_3|55.6|-
Q_Shewanella_Pdp11__0_partial_1__4|3876|4079|29937|+|P22_Cro|84.6|-|2|P22_Cro|84.6|-
Q_Shewanella_Pdp11__0_partial_1__5|4111|4734|29937|+|-|nan|-|2|-|nan|-
Q_Shewanella_Pdp11__0_partial_1__6|4740|5066|29937|+|3300002052@SMTZ1_10000020@SMTZ1_10000020164|85.8|-|1|-|nan|-
Q_Shewanella_Pdp11__0_partial_1__7|5237|5515|29937|-|-|nan|-|2|-|nan|-
Q_Shewanella_Pdp11__0_partial_1__8|5674|6423|29937|+|Phage_cluster_1919.ali_faa|167.2|-|1|HTH_36|39.1|-
Q_Shewanella_Pdp11__0_partial_1__9|6420|7106|29937|+|3300001729@JGI24651J20071_1000011@JGI24651J20071_100001127|125.9|-|1|Phage_lambda_P|115.9|-
Q_Shewanella_Pdp11__0_partial_1__10|7096|8352|29937|+|Phage_cluster_42042.ali_faa|172.7|-|1|Phage_integrase|51.1|-
Q_Shewanella_Pdp11__0_partial_1__11|8408|8626|29937|+|Phage_cluster_8561.ali_faa|40.3|-|1|HTH_3|33.7|-
Q_Shewanella_Pdp11__0_partial_1__12|8613|8990|29937|+|-|nan|-|2|-|nan|-
Q_Shewanella_Pdp11__0_partial_1__13|8999|9613|29937|+|RNase_T|51.3|-|2|RNase_T|51.3|-
Q_Shewanella_Pdp11__0_partial_1__14|10534|11067|29937|+|Phage_cluster_24.ali_faa|129.7|-|1|Phage_lysozyme|36.9|-
Q_Shewanella_Pdp11__0_partial_1__15|11048|11551|29937|+|Phage_cluster_5891.ali_faa|30.6|-|1|-|nan|-
Q_Shewanella_Pdp11__0_partial_1__16|11761|12018|29937|+|-|nan|-|2|-|nan|-
Q_Shewanella_Pdp11__0_partial_1__17|11972|12505|29937|+|Phage_cluster_7471.ali_faa|154.6|-|1|Phage_Nu1|73.2|-
Q_Shewanella_Pdp11__0_partial_1__18|12480|14477|29937|+|Phage_cluster_144.ali_faa|566.1|-|0|Terminase_GpA|412.0|-
Q_Shewanella_Pdp11__0_partial_1__19|14506|14712|29937|+|Phage_cluster_7689.ali_faa|86.4|-|1|-|nan|-
Q_Shewanella_Pdp11__0_partial_1__20|14762|16336|29937|+|Phage_cluster_49349.ali_faa|436.9|-|0|Phage_portal_2|281.1|-
Q_Shewanella_Pdp11__0_partial_1__21|16308|18317|29937|+|Phage_cluster_52.ali_faa|628.6|-|0|CLP_protease|107.8|-
Q_Shewanella_Pdp11__0_partial_1__22|18394|18717|29937|+|Phage_cluster_5959.ali_faa|97.6|-|1|DUF2190|68.8|-
Q_Shewanella_Pdp11__0_partial_1__23|18710|19048|29937|+|-|nan|-|2|-|nan|-
Q_Shewanella_Pdp11__0_partial_1__24|19068|19625|29937|+|NP_918988@NC_005091|31.2|-|1|-|nan|-
Q_Shewanella_Pdp11__0_partial_1__25|19641|20066|29937|+|-|nan|-|2|-|nan|-
Q_Shewanella_Pdp11__0_partial_1__26|20063|20782|29937|+|YP_164080@NC_006548|113.8|-|1|-|nan|-
Q_Shewanella_Pdp11__0_partial_1__27|20899|21285|29937|+|RelE|143.9|-|2|RelE|143.9|-
Q_Shewanella_Pdp11__0_partial_1__28|21269|21574|29937|+|Phage_cluster_201.ali_faa|39.9|-|1|HTH_3|30.9|-
Q_Shewanella_Pdp11__0_partial_1__29|21658|22242|29937|-|Phage_cluster_2185.ali_faa|118.8|-|1|Phage_pRha|83.9|-
Q_Shewanella_Pdp11__0_partial_1__30|22727|27013|29937|+|Phage_cluster_1501.ali_faa|142.1|-|0|PhageMin_Tail|51.9|-
Q_Shewanella_Pdp11__0_partial_1__31|27051|27422|29937|+|-|nan|-|2|-|nan|-
Q_Shewanella_Pdp11__0_partial_1__32|27430|29937|29937|+|3300001784@JGI20225J20221_1000312@JGI20225J20221_100031258|75.1|-|0|-|nan|-
